[0.,0.]
[0.7393646 ,0.23771593]

-------------------END OF EPISODE-------------------
[-0.42282394, 1.2857326 ]

-------------------END OF EPISODE-------------------
[ 0.6403993,-1.2012787]

-------------------END OF EPISODE-------------------
[ 1.5067563 ,-0.82795095]

-------------------END OF EPISODE-------------------
[-1.1183962, 0.0802238]

-------------------END OF EPISODE-------------------
[ 1.251032  ,-0.87256145]

-------------------END OF EPISODE-------------------
[-0.17126672,-0.8065664 ]

-------------------END OF EPISODE-------------------
[ 0.24258621,-0.1168019 ]

-------------------END OF EPISODE-------------------
[ 0.2511002,-1.642611 ]

-------------------END OF EPISODE-------------------
[-1.3179739 , 0.66523486]

-------------------END OF EPISODE-------------------
[ 1.3252124 ,-0.11230572]

-------------------END OF EPISODE-------------------
[-0.22827573,-0.49944964]

-------------------END OF EPISODE-------------------
[-0.09247144, 0.63901997]

-------------------END OF EPISODE-------------------
[-1.2517196 , 0.19325931]

-------------------END OF EPISODE-------------------
[ 1.7574675,-0.8352999]

-------------------END OF EPISODE-------------------
[0.5151896,0.4771173]

-------------------END OF EPISODE-------------------
[1.3857958,0.9628313]

-------------------END OF EPISODE-------------------
[0.71271735,1.68529   ]

-------------------END OF EPISODE-------------------
[1.0508212 ,0.39288104]

-------------------END OF EPISODE-------------------
[-2.3704753,-1.4235712]

-------------------END OF EPISODE-------------------
[-0.34100914,-0.07291727]

-------------------END OF EPISODE-------------------
[-0.22981906,-1.1121094 ]

-------------------END OF EPISODE-------------------
[-0.81121325, 0.75006896]

-------------------END OF EPISODE-------------------
[-0.1603142, 0.4015867]

-------------------END OF EPISODE-------------------
[-0.9370358, 0.8808055]

-------------------END OF EPISODE-------------------
[-0.5282934, 0.1914082]

-------------------END OF EPISODE-------------------
[ 1.9797707,-1.1073177]

-------------------END OF EPISODE-------------------
[ 0.48576748,-0.70777035]

-------------------END OF EPISODE-------------------
[-0.7283772 , 0.15010981]

-------------------END OF EPISODE-------------------
[ 1.2988937 ,-0.00768401]

-------------------END OF EPISODE-------------------
[-0.04795165, 0.65360826]

-------------------END OF EPISODE-------------------
[ 0.54674345,-0.8438807 ]

-------------------END OF EPISODE-------------------
[-0.25700927,-0.7445796 ]

-------------------END OF EPISODE-------------------
[1.5112075,1.3135618]

-------------------END OF EPISODE-------------------
[-0.45380193, 0.12680061]

